customer_state,avg_review,avg_delay,order_count
AL,3.751207729468599,-8.821608040201005,414
MA,3.7640750670241285,-9.71927374301676,746
SE,3.8080229226361033,-10.068862275449101,349
PA,3.8491735537190084,-14.177848775292865,968
CE,3.851015801354402,-10.86833855799373,1329
BA,3.8608876973488235,-10.886629698089957,3357
RJ,3.8749706227967096,-11.816997720612179,12765
PI,3.920570264765784,-11.286016949152541,491
PE,4.011543134872418,-13.421383647798741,1646
PB,4.018832391713747,-13.461988304093568,531
ES,4.041666666666667,-10.685540950455005,2016
GO,4.042490118577075,-12.261334691798268,2024
RO,4.051587301587301,-20.09090909090909,252
DF,4.064711359404097,-12.011488750598373,2148
SC,4.071763731714049,-11.557159026598756,3623
TO,4.096774193548387,-12.106227106227106,279
MT,4.102990033222591,-14.484126984126984,903
RN,4.105809128630705,-13.695560253699789,482
MS,4.1187845303867405,-11.016901408450705,724
RS,4.1333211745394856,-13.916278202498601,5483
MG,4.1361720430107525,-13.278555702333774,11625
SP,4.173950587670904,-11.102648352191315,41690
PR,4.180031758634379,-13.33360439113641,5038
AM,4.183673469387755,-19.579310344827586,147
